Date of Trade,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date,unadjusted_quantity,unadjusted_price,split_adjustment_factor
 02/16/2024, YOU SOLD SHORT SALE PROSHARES TR ULTPRO SHT 2017 (SRTY) (Short),SRTY, PROSHARES TR ULTPRO SHT 2017,Short,-7.0,28.98,,,,202.83,133217.45,2/21/2024,-7,28.98,1.0
 02/16/2024, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (063679625) (Short),BNKU, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-30.0,6.11,,,,183.3,133217.45,2/21/2024,-30,6.11,1.0
 02/20/2024, YOU SOLD SHORT SALE PROSHARES TR II ULTRA BLOOMBERG (BOIL) (Short),BOIL, PROSHARES TR II ULTRA BLOOMBERG,Short,-4.0,67.5,,,,270.04,133217.45,2/22/2024,-20,13.5,0.2
 02/20/2024, YOU SOLD SHORT SALE DIREXION DAILY S&P BIOTECH BEAR 3X S... (LABD) (Short),LABD, DIREXION DAILY S&P BIOTECH BEAR 3X SHAR,Short,-30.0,8.07,,,,242.14,133217.45,2/22/2024,-30,8.07,1.0
 02/26/2024, YOU SOLD SHORT SALE PROSHARES TR ULTRASHORT ENRGY (DUG) (Short),DUG, PROSHARES TR ULTRASHORT ENRGY,Short,-15.0,10.93,,,,163.95,133394.24,2/28/2024,-15,10.93,1.0
 02/26/2024, YOU SOLD SHORT SALE DIREXION DAILY S&P BIOTECH BEAR 3X S... (LABD) (Short),LABD, DIREXION DAILY S&P BIOTECH BEAR 3X SHAR,Short,-55.0,7.26,,,,399.31,133394.24,2/28/2024,-55,7.26,1.0
 02/26/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DLY SEMICNDTR BR... (25460G336) (Short),SOXS, DIREXION SHS ETF TR DLY SEMICNDTR BR 1 ,Short,-10.0,39.8,,,,398.32,133394.24,2/28/2024,-100,3.98,0.1
 02/26/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY FINL BEAR (FAZ) (Short),FAZ, DIREXION SHS ETF TR DAILY FINL BEAR,Short,-25.0,11.21,,,,280.31,133394.24,2/28/2024,-25,11.21,1.0
 02/26/2024, YOU BOUGHT BANK OF MONTREAL CALLABLE PUTABLE 0.... (OILD) (Margin),OILD, BANK OF MONTREAL CALLABLE PUTABLE 0.000,BTC,10.0,18.51,,,,-185.06,133394.24,2/28/2024,10,18.51,1.0
 02/26/2024, YOU SOLD SHORT SALE BANK MONTREAL QUE MICROSECTORS U S B... (NRGD) (Short),NRGD, BANK MONTREAL QUE MICROSECTORS U S BIG ,Short,-1.0,195.23,,,,195.23,133579.3,2/28/2024,-1,195.23,1.0
 02/27/2024, YOU SOLD SHORT SALE DIREXION DAILY S&P BIOTECH BEAR 3X S... (LABD) (Short),LABD, DIREXION DAILY S&P BIOTECH BEAR 3X SHAR,Short,-35.0,6.64,,,,232.48,133394.24,2/29/2024,-35,6.64,1.0
 02/27/2024, YOU SOLD SHORT SALE DIREXION DAILY S&P BIOTECH BEAR 3X S... (LABD) (Short),LABD, DIREXION DAILY S&P BIOTECH BEAR 3X SHAR,Short,-70.0,6.15,,,,430.72,133394.24,2/29/2024,-70,6.15,1.0
 02/27/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DLY SEMICNDTR BR... (25460G336) (Short),SOXS, DIREXION SHS ETF TR DLY SEMICNDTR BR 1 ,Short,-5.0,39.2,,,,195.75,133394.24,2/29/2024,-50,3.92,0.1
 02/27/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY SM CP BEAR (TZA) (Short),TZA, DIREXION SHS ETF TR DAILY SM CP BEAR,Short,-10.0,18.92,,,,189.2,133394.24,2/29/2024,-10,18.92,1.0
 02/28/2024, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY S&P BIOTCH (LABU) (Short),LABU, DIREXION SHS ETF TR DAILY S&P BIOTCH,Short,-4.0,172.72,,0.01,,690.88,133394.24,3/1/2024,-4,172.72,1.0
 02/29/2024, YOU SOLD SHORT SALE PROSHARES TR II ULTRA VIX SHORT 1 FO... (74347Y771) (Short),UVXY, PROSHARES TR II ULTRA VIX SHORT 1 FOR 5,Short,-50.0,6.76,,,,338.0,133830.25,3/4/2024,-50,6.76,1.0
